Series_Title,Released_Year,Actor_Id
Toy Story,1995,350
Braveheart,1995,351
Braveheart,1995,352
Braveheart,1995,353
Braveheart,1995,354
Reservoir Dogs,1992,355
Reservoir Dogs,1992,356
Reservoir Dogs,1992,357
Reservoir Dogs,1992,358
Full Metal Jacket,1987,359
Full Metal Jacket,1987,360
Full Metal Jacket,1987,361
Full Metal Jacket,1987,362
Idi i smotri,1985,363
Idi i smotri,1985,364
Idi i smotri,1985,365
Idi i smotri,1985,366
Aliens,1986,254
Aliens,1986,367
Aliens,1986,368
Aliens,1986,121
Amadeus,1984,369
Amadeus,1984,370
Amadeus,1984,371
Amadeus,1984,372
Scarface,1983,5
Scarface,1983,373
Scarface,1983,374
Scarface,1983,375
Star Wars: Episode VI - Return of the Jedi,1983,54
Star Wars: Episode VI - Return of the Jedi,1983,55
Star Wars: Episode VI - Return of the Jedi,1983,56
Star Wars: Episode VI - Return of the Jedi,1983,57
Das Boot,1981,376
Das Boot,1981,377
Das Boot,1981,378
Das Boot,1981,379
Taxi Driver,1976,12
Taxi Driver,1976,98
Taxi Driver,1976,380
Taxi Driver,1976,381
The Sting,1973,382
The Sting,1973,383
The Sting,1973,384
The Sting,1973,385
A Clockwork Orange,1971,386
A Clockwork Orange,1971,387
A Clockwork Orange,1971,388
A Clockwork Orange,1971,389
2001: A Space Odyssey,1968,390
2001: A Space Odyssey,1968,391
2001: A Space Odyssey,1968,392
2001: A Space Odyssey,1968,393
Per qualche dollaro in più,1965,43
Per qualche dollaro in più,1965,45
Per qualche dollaro in più,1965,394
Per qualche dollaro in più,1965,395
Lawrence of Arabia,1962,396
Lawrence of Arabia,1962,102
Lawrence of Arabia,1962,397
Lawrence of Arabia,1962,398
The Apartment,1960,399
The Apartment,1960,400
The Apartment,1960,401
The Apartment,1960,402
North by Northwest,1959,403
North by Northwest,1959,404
North by Northwest,1959,405
North by Northwest,1959,406
Vertigo,1958,111
Vertigo,1958,407
Vertigo,1958,408
Vertigo,1958,409
Singin' in the Rain,1952,410
Singin' in the Rain,1952,410
Singin' in the Rain,1952,411
Singin' in the Rain,1952,412
Ikiru,1952,108
Ikiru,1952,413
Ikiru,1952,414
Ikiru,1952,415
Ladri di biciclette,1948,416
Ladri di biciclette,1948,417
Ladri di biciclette,1948,418
Ladri di biciclette,1948,419
Double Indemnity,1944,401
Double Indemnity,1944,420
Double Indemnity,1944,421
Double Indemnity,1944,422
Citizen Kane,1941,423
Citizen Kane,1941,424
Citizen Kane,1941,425
Citizen Kane,1941,426
M - Eine Stadt sucht einen Mörder,1931,427
M - Eine Stadt sucht einen Mörder,1931,428
M - Eine Stadt sucht einen Mörder,1931,429
M - Eine Stadt sucht einen Mörder,1931,430
Metropolis,1927,431
Metropolis,1927,432
Metropolis,1927,433
Metropolis,1927,434
The Kid,1921,176
The Kid,1921,435
The Kid,1921,436
The Kid,1921,437
Chhichhore,2019,438
Chhichhore,2019,439
Chhichhore,2019,440
Chhichhore,2019,441
Uri: The Surgical Strike,2018,442
Uri: The Surgical Strike,2018,72
Uri: The Surgical Strike,2018,443
Uri: The Surgical Strike,2018,444
K.G.F: Chapter 1,2018,445
K.G.F: Chapter 1,2018,446
K.G.F: Chapter 1,2018,447
K.G.F: Chapter 1,2018,448
Green Book,2018,19
Green Book,2018,449
Green Book,2018,450
Green Book,2018,451
"Three Billboards Outside Ebbing, Missouri",2017,452
"Three Billboards Outside Ebbing, Missouri",2017,453
"Three Billboards Outside Ebbing, Missouri",2017,454
"Three Billboards Outside Ebbing, Missouri",2017,455
Talvar,2015,456
Talvar,2015,457
Talvar,2015,458
Talvar,2015,291
Baahubali 2: The Conclusion,2017,459
Baahubali 2: The Conclusion,2017,460
Baahubali 2: The Conclusion,2017,461
Baahubali 2: The Conclusion,2017,462
Klaus,2019,463
Klaus,2019,464
Klaus,2019,119
Klaus,2019,465
Drishyam,2015,466
Drishyam,2015,467
Drishyam,2015,294
Drishyam,2015,468
Queen,2013,469
Queen,2013,470
Queen,2013,471
Queen,2013,472
Mandariinid,2013,473
Mandariinid,2013,474
Mandariinid,2013,475
Mandariinid,2013,476
Bhaag Milkha Bhaag,2013,477
Bhaag Milkha Bhaag,2013,478
Bhaag Milkha Bhaag,2013,479
Bhaag Milkha Bhaag,2013,480
Gangs of Wasseypur,2012,481
Gangs of Wasseypur,2012,482
Gangs of Wasseypur,2012,483
Gangs of Wasseypur,2012,484
Udaan,2010,485
Udaan,2010,486
Udaan,2010,487
Udaan,2010,488
Paan Singh Tomar,2012,456
Paan Singh Tomar,2012,489
Paan Singh Tomar,2012,490
Paan Singh Tomar,2012,491
El secreto de sus ojos,2009,492
El secreto de sus ojos,2009,493
El secreto de sus ojos,2009,494
El secreto de sus ojos,2009,495
Warrior,2011,218
Warrior,2011,496
Warrior,2011,497
Warrior,2011,498
Shutter Island,2010,30
Shutter Island,2010,499
Shutter Island,2010,209
Shutter Island,2010,28
Up,2009,500
Up,2009,501
Up,2009,502
Up,2009,503
The Wolf of Wall Street,2013,30
The Wolf of Wall Street,2013,504
The Wolf of Wall Street,2013,505
The Wolf of Wall Street,2013,74
Chak De! India,2007,506
Chak De! India,2007,507
Chak De! India,2007,508
Chak De! India,2007,509
There Will Be Blood,2007,510
There Will Be Blood,2007,511
There Will Be Blood,2007,512
There Will Be Blood,2007,513
Pan's Labyrinth,2006,514
Pan's Labyrinth,2006,515
Pan's Labyrinth,2006,516
Pan's Labyrinth,2006,517
Toy Story 3,2010,39
Toy Story 3,2010,348
Toy Story 3,2010,518
Toy Story 3,2010,519
V for Vendetta,2005,520
V for Vendetta,2005,144
V for Vendetta,2005,521
V for Vendetta,2005,522
Rang De Basanti,2006,198
Rang De Basanti,2006,523
Rang De Basanti,2006,524
Rang De Basanti,2006,220
Black,2005,259
Black,2005,525
Black,2005,526
Black,2005,527
Batman Begins,2005,8
Batman Begins,2005,11
Batman Begins,2005,33
Batman Begins,2005,26
"Swades: We, the People",2004,506
"Swades: We, the People",2004,528
"Swades: We, the People",2004,529
"Swades: We, the People",2004,530
Der Untergang,2004,531
Der Untergang,2004,532
Der Untergang,2004,533
Der Untergang,2004,534
Hauru no ugoku shiro,2004,535
Hauru no ugoku shiro,2004,536
Hauru no ugoku shiro,2004,537
Hauru no ugoku shiro,2004,538
A Beautiful Mind,2001,133
A Beautiful Mind,2001,539
A Beautiful Mind,2001,336
A Beautiful Mind,2001,540
Hera Pheri,2000,541
Hera Pheri,2000,542
Hera Pheri,2000,72
Hera Pheri,2000,294
"Lock, Stock and Two Smoking Barrels",1998,543
"Lock, Stock and Two Smoking Barrels",1998,544
"Lock, Stock and Two Smoking Barrels",1998,545
"Lock, Stock and Two Smoking Barrels",1998,331
L.A. Confidential,1997,96
L.A. Confidential,1997,133
L.A. Confidential,1997,236
L.A. Confidential,1997,546
Eskiya,1996,547
Eskiya,1996,548
Eskiya,1996,549
Eskiya,1996,550
Heat,1995,5
Heat,1995,12
Heat,1995,551
Heat,1995,552
Casino,1995,12
Casino,1995,553
Casino,1995,52
Casino,1995,243
Andaz Apna Apna,1994,198
Andaz Apna Apna,1994,554
Andaz Apna Apna,1994,555
Andaz Apna Apna,1994,556
Unforgiven,1992,43
Unforgiven,1992,557
Unforgiven,1992,1
Unforgiven,1992,558
Indiana Jones and the Last Crusade,1989,55
Indiana Jones and the Last Crusade,1989,559
Indiana Jones and the Last Crusade,1989,560
Indiana Jones and the Last Crusade,1989,561
Dom za vesanje,1988,562
Dom za vesanje,1988,563
Dom za vesanje,1988,564
Dom za vesanje,1988,565
Tonari no Totoro,1988,566
Tonari no Totoro,1988,567
Tonari no Totoro,1988,568
Tonari no Totoro,1988,569
Die Hard,1988,25
Die Hard,1988,570
Die Hard,1988,571
Die Hard,1988,572
Ran,1985,103
Ran,1985,573
Ran,1985,574
Ran,1985,575
Raging Bull,1980,12
Raging Bull,1980,576
Raging Bull,1980,52
Raging Bull,1980,577
Stalker,1979,578
Stalker,1979,579
Stalker,1979,580
Stalker,1979,581
Höstsonaten,1978,173
Höstsonaten,1978,582
Höstsonaten,1978,583
Höstsonaten,1978,584
The Message,1976,397
The Message,1976,585
The Message,1976,586
The Message,1976,587
Sholay,1975,588
Sholay,1975,589
Sholay,1975,259
Sholay,1975,590
Monty Python and the Holy Grail,1975,591
Monty Python and the Holy Grail,1975,592
Monty Python and the Holy Grail,1975,593
Monty Python and the Holy Grail,1975,594
The Great Escape,1963,595
The Great Escape,1963,596
The Great Escape,1963,597
The Great Escape,1963,165
To Kill a Mockingbird,1962,598
To Kill a Mockingbird,1962,599
To Kill a Mockingbird,1962,600
To Kill a Mockingbird,1962,601
Yôjinbô,1961,107
Yôjinbô,1961,602
Yôjinbô,1961,103
Yôjinbô,1961,603
Judgment at Nuremberg,1961,604
Judgment at Nuremberg,1961,605
